Código,Dirección,Localidad,Provincia,Latitud,Longitud
THC,"Túpac Amaru 650, Boulogne",Boulogne,Buenos Aires,-34.5083,-58.498
JU,"Av. Jujuy 1653, CABA (CP 1247)",CABA,Buenos Aires,-34.6258,-58.402
TH,"Col. Panamericana Oeste 1938 y Thames, Boulogne (CP 1609)",Boulogne,Buenos Aires,-34.5062,-58.496
CO,"Av. de los Constituyentes 6005, CABA (CP 1431)",CABA,Buenos Aires,-34.5656,-58.4603
YR,"Col. Panamericana Este 969 e Yrigoyen, Martinez (CP 1640)",Martínez,Buenos Aires,-34.4885,-58.505
SF,"Av. Santa Fe 4702, esq. Juan B. Justo, CABA (CP 1425)",CABA,Buenos Aires,-34.5894,-58.4256
PL,"Col. Acceso Oeste 9229, Parque Leloir (CP 1713)",Parque Leloir,Buenos Aires,-34.635,-58.715
PI,"Av. 12 de Octubre entre Pres. Derqui y Chacabuco (Local 2), La Lonja, Pilar",Pilar,Buenos Aires,-34.455,-58.91
LO,"Av. Hipólito Yrigoyen 8067, Banfield, Lomas de Zamora",Banfield,Buenos Aires,-34.743,-58.395
AV,"Autopista Bs. As.- La Plata, KM 9, local 2, Avellaneda",Avellaneda,Buenos Aires,-34.6755,-58.3677
CB,"Av. Córdoba 3815, esq. Medrano, CABA (CP 1188)",CABA,Buenos Aires,-34.604,-58.4217
QU,"Av. Calchaqui 1000, Quilmes",Quilmes,Buenos Aires,-34.724,-58.252
BE,"Panamericana Colectora Este y Guido Spano, Benavidez",Benavidez,Buenos Aires,-34.416,-58.705
CG,"Av. Belgrano 2090, CABA (CP 1094)",CABA,Buenos Aires,-34.6113,-58.39
VE,"Av. Juan B. Justo 9510 - Versalles, CABA (CP 1408)",CABA,Buenos Aires,-34.628,-58.51
SM,"Av. Doctor Ricardo Balbín 553, San Miguel (CP 1663)",San Miguel,Buenos Aires,-34.5408,-58.7212
MO,"Colectora Sur Acceso Oeste 6165, Moreno (CP 1744)",Moreno,Buenos Aires,-34.64,-58.79
GP,"Av. Constituyentes 17 Ruta Nacional 9, General Pacheco",Gral. Pacheco,Buenos Aires,-34.4528,-58.6317
SJ,"Av. Brig. Gral. Juan Manuel de Rosas 3881, San Justo (CP 1754)",San Justo,Buenos Aires,-34.677,-58.56
LP,"Camino Parque Centenario (esq. Calle 503) 2899, La Plata (CP 1900)",La Plata,Buenos Aires,-34.9203,-57.9696
SA,"Av. Paraguay 2259, Salta Capital (CP 4400)",Salta Capital,Salta,-24.782,-65.423
FL,"Av. Rivadavia 7200, CABA (CP 1406) Flores",CABA,Buenos Aires,-34.628,-58.462
LA,"Av. Hipólito Yrigoyen 4799, Lanús",Lanús,Buenos Aires,-34.706,-58.392
SV,"EJO, Gdor. Marcelino Ugarte 3636, Vicente López (CP B1605)",Vicente López,Buenos Aires,-34.532,-58.472
CD,"Av. Constituyentes 1608, Tortuguitas, Garín",Tortuguitas,Buenos Aires,-34.475,-58.735
ND,"Av. Santa Maria de las Conchas 5500, Rincón de Milberg",Rincón de Milberg,Buenos Aires,-34.41,-58.62
SN,"San Lorenzo 3773, San Martín, local 1006",San Martín,Buenos Aires,-34.5627,-58.557
RO,"Portal Rosario Shopping, Nansen 343, Rosario, Santa Fe",Rosario,Santa Fe,-32.95,-60.6667
CP,"Av. Rafael Nuñez 3972, Tablada Park, Córdoba (CP X3972)",Córdoba,Córdoba,-31.4201,-64.1888
CA,"Av. Mariano Castex 499, Canning, Partido de Ezeiza",Canning,Buenos Aires,-34.855,-58.505
UG,"EJO, Gdor. Marcelino Ugarte 3636, Vicente López (CP B1605) - Ugarte Administración",Vicente López,Buenos Aires,-34.532,-58.472
